Star,HJD-2400000.0,Magnitude,Uncertainty in Magnitude,Passband
scl-CEMV001,54734.6147,19.636,0.011,B
scl-CEMV001,54734.6561,19.809,0.017,B
scl-CEMV001,54734.7185,20.070,0.026,B
scl-CEMV001,54734.7516,20.314,0.311,B
scl-CEMV001,54734.7742,20.220,0.010,B
scl-CEMV001,54734.8235,20.369,0.011,B
scl-CEMV001,54735.7068,20.681,0.014,B
scl-CEMV001,54736.5557,20.794,0.020,B
scl-CEMV001,54736.7474,19.746,0.010,B
scl-CEMV001,54736.8234,20.058,0.012,B
scl-CEMV001,54736.8586,20.150,0.015,B
scl-CEMV001,54736.8987,20.480,0.038,B
scl-CEMV002,54716.5985,20.207,0.028,B
scl-CEMV002,54716.6031,20.228,0.013,B
scl-CEMV002,54716.6078,20.194,0.011,B
scl-CEMV002,54716.6125,20.199,0.013,B
scl-CEMV002,54734.5658,20.384,0.010,B
scl-CEMV002,54734.6147,20.210,0.009,B
scl-CEMV002,54734.6561,20.234,0.009,B
scl-CEMV002,54734.7742,20.425,0.010,B
scl-CEMV002,54734.8235,20.487,0.012,B
scl-CEMV002,54735.5547,20.200,0.012,B
scl-CEMV002,54735.6036,20.218,0.011,B
scl-CEMV002,54735.6528,20.273,0.011,B
scl-CEMV002,54735.7068,20.457,0.011,B
scl-CEMV002,54735.7541,20.483,0.013,B
scl-CEMV002,54736.5557,20.238,0.018,B
scl-CEMV002,54736.6005,20.383,0.014,B
scl-CEMV002,54736.6420,20.517,0.013,B
scl-CEMV002,54736.7073,20.424,0.015,B
scl-CEMV002,54736.7474,20.190,0.012,B
scl-CEMV002,54736.7824,20.205,0.013,B
scl-CEMV002,54736.8234,20.203,0.011,B
scl-CEMV002,54736.8586,20.247,0.013,B
scl-CEMV002,54736.8987,20.334,0.040,B
scl-CEMV002,55159.7229,20.339,0.010,B
scl-CEMV002,55159.7282,20.350,0.009,B
scl-CEMV002,52517.8428,20.263,0.010,B
scl-CEMV002,52517.8499,20.171,0.009,B
scl-CEMV002,52517.8571,20.212,0.010,B
scl-CEMV003,54716.5985,20.742,0.054,B
scl-CEMV003,54716.6031,20.755,0.026,B
scl-CEMV003,54716.6078,20.744,0.020,B
scl-CEMV003,54716.6125,20.731,0.021,B
scl-CEMV003,55159.7229,20.243,0.010,B
scl-CEMV003,55159.7282,20.260,0.010,B
scl-CEMV003,52517.8428,20.774,0.013,B
scl-CEMV003,52517.8499,20.733,0.014,B
scl-CEMV003,52517.8571,20.723,0.014,B
scl-CEMV004,54716.5985,20.574,0.051,B
scl-CEMV004,54716.6031,20.658,0.025,B
scl-CEMV004,54716.6078,20.690,0.019,B
scl-CEMV004,54716.6125,20.712,0.022,B
scl-CEMV004,55159.7229,20.433,0.011,B
scl-CEMV004,55159.7282,20.446,0.012,B
scl-CEMV004,52517.8428,20.935,0.014,B
scl-CEMV004,52517.8499,20.899,0.016,B
scl-CEMV004,52517.8571,20.899,0.015,B
scl-CEMV005,54716.5985,20.374,0.032,B
scl-CEMV005,54716.6031,20.492,0.016,B
scl-CEMV005,54716.6078,20.441,0.015,B
scl-CEMV005,54716.6125,20.485,0.015,B
scl-CEMV005,54734.5658,20.528,0.011,B
scl-CEMV005,54734.6147,20.475,0.011,B
scl-CEMV005,54734.6561,20.191,0.012,B
scl-CEMV005,54734.7516,19.854,0.197,B
scl-CEMV005,54734.7742,20.135,0.009,B
scl-CEMV005,54734.8235,20.377,0.008,B
scl-CEMV005,54735.5547,20.434,0.012,B
scl-CEMV005,54735.6036,20.126,0.010,B
scl-CEMV005,54735.6528,20.024,0.009,B
scl-CEMV005,54735.7068,20.137,0.010,B
scl-CEMV005,54736.5557,20.048,0.016,B
scl-CEMV005,54736.6005,20.094,0.012,B
scl-CEMV005,54736.6420,20.184,0.011,B
scl-CEMV005,54736.7474,20.512,0.015,B
scl-CEMV005,54736.7824,20.453,0.013,B
scl-CEMV005,54736.8234,20.293,0.012,B
scl-CEMV005,54736.8586,19.913,0.028,B
scl-CEMV005,54736.8987,20.012,0.029,B
scl-CEMV005,55159.7229,20.033,0.010,B
scl-CEMV005,55159.7282,20.073,0.009,B
scl-CEMV006,54716.5985,20.565,0.034,B
scl-CEMV006,54716.6031,20.488,0.016,B
scl-CEMV006,54716.6078,20.528,0.015,B
scl-CEMV006,54716.6125,20.565,0.014,B
scl-CEMV006,54734.6147,20.578,0.009,B
scl-CEMV006,54734.6561,20.519,0.009,B
scl-CEMV006,54734.7516,20.093,0.190,B
scl-CEMV006,54734.7742,20.143,0.007,B
scl-CEMV006,54734.8235,20.243,0.008,B
scl-CEMV006,54735.5547,20.637,0.014,B
scl-CEMV006,54735.6036,20.593,0.012,B
scl-CEMV006,54735.6528,20.557,0.012,B
scl-CEMV006,54735.7068,20.093,0.008,B
scl-CEMV006,54736.5557,20.469,0.013,B
scl-CEMV006,54736.6005,20.610,0.015,B
scl-CEMV006,54736.6420,20.524,0.014,B
scl-CEMV006,54736.7073,20.035,0.011,B
scl-CEMV006,54736.7474,20.123,0.009,B
scl-CEMV006,54736.7824,20.241,0.014,B
scl-CEMV006,54736.8234,20.316,0.011,B
scl-CEMV006,54736.8586,20.403,0.012,B
scl-CEMV006,54736.8987,20.494,0.041,B
scl-CEMV006,55159.7229,20.658,0.009,B
scl-CEMV006,55159.7282,20.642,0.010,B
